Denkmalzone Burgruine Alt-Wolfstein,Wolfstein,"Höhenburg, wohl um 1160/70 durch Friedrich I. Barbarossa gegründet, 1504 zerstört; Kernburg und äußere Burg, Halsgraben, Bergfried, teilweise ummantelt, Mauerreste des Wohnbaus, Reste einer Toranlage",48.272178,15.435275
Denkmalzone Burgruine Neu-Wolfstein,Wolfstein,"Außenmauern der Spornanlage, nur noch in ihren Außenmauern erhalten; zwischen 1313 und 1323 begonnen, 1688 und 1713 zerstört; Kriegerdenkmal 1930",48.272178,15.435275
"Denkmalzone Ortskern (Am Ring, Enggasse, Im Eck, Mühlgasse, Schlossgasse)",Wolfstein,"geschlossen bebauter Bereich innerhalb der ehemaligen Stadtmauer, von der nur noch am Mühlgraben und hinter dem Gebäude Im Eck 11 ein Stück erhalten ist; Bebauung überwiegend aus dem 19. Jahrhundert mit einzelnen Fackwerkhäusern, die bis ins 16. Jahrhundert zurückreichen, ehemaliger lutherischer Kapelle (Im Eck 3/5), ehemaligem protestantischem Pfarrhaus (Am Ring 6), ehemaligem katholischem Pfarrhaus (Am Ring 10), ehemalige Stadtmühle (Am Ring 24), ehemaligem Färberhaus (Am Ring 8)",48.272178,15.435275
"Am Horst, auf dem Friedhof",Wolfstein,"Friedhofshalle auf dem 1612 angelegten Friedhof; Holzkonstruktion mit Walmdach, Erneuerung 1876; zwei Epitaphe, 1613 und 1735",49.584117,7.602038
Am Ring 1,Wolfstein,"Protestantische Pfarrkirche; neugotischer Saalbau, 1866–68, Architekten Ferdinand Beyschlag, August von Voit, (1835), Emil Morgens, Kaiserslautern; spätgotisches Sakramentshäuschen","",""
"Am Ring 6a, Mühlgasse 1",Wolfstein,"Fachwerkhaus, teilweise massiv, 17. Jahrhundert, rückwärtig Fachwerk-Werkstattgebäude; ortsbildprägend",49.584725,7.606224
Am Ring 11,Wolfstein,"ehemaliges Rathaus; Mittelbau, teilweise Fachwerk, 1581, dreigeschossiger Vorbau mit zwei Fachwerkobergeschossen, 1590, Laubengang 1811 geschlossen; rückwärtig Tanzsaal, 1608 oder 1689","",""
Am Ring 24,Wolfstein,"Alte Stadtmühle; viergeschossiges Mühlengebäude, 1888, ehemaliges Backhaus, Ökonomie; winkelförmiges, dreigeschossiges Wohnhaus, Heimatstil, 1909; straßenbildprägend",49.585145,7.606233
(bei) Am Ring 52,Wolfstein,"Spiegelsaal, neubarock, 1903",49.584287,7.606215
Bahnhofstraße 3,Wolfstein,"eingeschossiges Wohnhaus, Putzbau auf Quadersockel, um 1903",49.584806,7.607248
Bahnhofstraße 16,Wolfstein,"Bahnhof; hausteingegliederter Quaderbau, Güterschuppen, 1882, Fahrdienstleiterstellwerk mit originaler Sicherungstechnik, 1938",49.584415,7.610329
Hauptstraße 2,Wolfstein,"ehemalige Amtskellerei; heute Rathaus, großvolumiger spätbarocker Krüppelwalmdachbau, 1753, Architekt Heinrich Heyler; Gewölbekeller",49.594763,7.605236
Hauptstraße 28/30,Wolfstein,"ehemaliges Amtsgericht; hausteingegliederter Sandsteinquaderbau, Neurenaissance, 1900; zugehörig Nr. 30 Gefängnis: dreigeschossiger Quaderbau, Walmdach, 1901",49.594763,7.605236
Hauptstraße 48,Wolfstein,"Kalkbergwerk; unterirdische Kalkgrube der Firma Otto Kappel, von 1880 bis 1967 in Betrieb, ab 1980 als Besichtigungsbergwerk zugänglich",49.594763,7.605236
Rathausplatz 2,Wolfstein,"ehemalige Schule; aufgesockelter anspruchsvoller Putzbau, Giebelrisalit, 1890/91, Architekt Dammbau- und Sektionsingenieur Weil, Bamberg",49.583796,7.606044
Schloßgasse 16,Wolfstein,"Katholische Pfarrkirche St. Philippus und Jakobus; Saalbau mit Krüppelwalmdach und Zwiebelturm, 1774–76",49.584947,7.604742
Reckweilerhof 9 und 11,Wolfstein,"ehemaliges Hofgut Reckweilerhof; Quereinhaus, bezeichnet 1752; Taubenturm, wohl vom Ende des 18. Jahrhunderts; Wappenstein, bezeichnet 1602; Siloschuppen, um 1930",49.608449,7.608766
Denkmalzone Kriegerdenkmal,Wolfstein,"Kriegerdenkmal anstelle der früheren Dionysiuskapelle und dem umgebenden Friedhof auf dem Dionysiusberg, Steinarchitektur, 1931 von Karl Koch",48.272178,15.435275
In Mühlhausen 2/4,Wolfstein,"Rossbacher Mühle; dreigeschossiger Bruchsteinbau, 1871, über älterem Kern (1695); sogenanntes Altes Haus: eingeschossige Einfirstanlage, teilweise Fachwerk",49.579199,7.621244
