Hofanlage,Backhausgasse 12,Biebelsheim,1808,"Hofanlage, Fachwerkhaus mit Torfahrt, bezeichnet 1808",Kein Bild vorhanden,49.872481,7.938922
Hofanlage,Backhausgasse 13,Biebelsheim,1700!18. oder Anfang des 19. Jahrhunderts,"Dreiseithof, 18. oder Anfang des 19. Jahrhunderts",Kein Bild vorhanden,49.872475,7.938647
Grabmal,"Hauptstraße, auf dem Friedhof",Biebelsheim,"","Grabmal Johann Fischborn, spätgründerzeitliche Ädikula mit Renaissancemotiven",Kein Bild vorhanden,49.872525,7.935753
Weingut,Hauptstraße 6,Biebelsheim,1890!um 1890/1900,"Weingut; eineinhalbgeschossiger villenartiger Klinkerbau, um 1890/1900",Kein Bild vorhanden,49.873233,7.937512
Villa Walldorf,Hauptstraße 30,Biebelsheim,1880!um 1880/90,"Villa Walldorf; Neurenaissance, um 1880/90",Kein Bild vorhanden,49.873871,7.940466
Fachwerkhaus,Obergasse 2,Biebelsheim,17. Jahrhundert,"Fachwerkhaus mit Fenstererker, 17. Jahrhundert",Kein Bild vorhanden,49.872638,7.940185
Evangelische Martinskirche,Obergasse 3,Biebelsheim,1496,"spätgotischer Saalbau mit eingezogenem Chor, bezeichnet 1496",Kein Bild vorhanden,49.872942,7.93988
Kriegerdenkmal,"Obergasse, bei Nr. 3",Biebelsheim,"",Kriegerdenkmal 1914/18,Kein Bild vorhanden,49.872878,7.940073
Fachwerkhaus,Obergasse 4,Biebelsheim,1700!18. Jahrhundert,"barockes Fachwerkhaus, 18. Jahrhundert",Kein Bild vorhanden,49.872762,7.939879
Portal,"Obergasse, an Nr. 10",Biebelsheim,1776,"spätbarockes Oberlichtportal, bezeichnet 1776",Kein Bild vorhanden,49.873118,7.939204
Kindergarten,Schulstraße 12,Biebelsheim,1893,"ehemalige Schule; Sandsteinquaderbau, bezeichnet 1893",Kein Bild vorhanden,49.87222,7.941994
Fachwerkhaus,Untergasse 4,Biebelsheim,1700!18. Jahrhundert,"barockes Fachwerkhaus, 18. Jahrhundert",,49.873132,7.94034
