"Denkmalzone Albinistraße, Diether-von-Isenburg-Straße, Ernst-Ludwig-Straße, Greiffenklaustraße, Kaiser-Friedrich-Straße, Kaiserstraße, Rheinallee", Mainz-Altstadt,"Gelände um das Kurfürstliche Schloss, nach Aufgabe des Bereichs durch das Militär ab 1899 im Rahmen eines Wettbewerbs geplantes neues Stadtzentrum zwischen Altstadt und Neustadt, Neuanlage von Albinistraße (geplant als Geschäftsstraße), Greiffenklaustraße, Ernst-Ludwig-Straße und Diether-von-Isenburgstraße, bebaut ab 1902 mit Gerichts- (Amtsgericht und Landgericht) und Gefängnisgebäuden, Verwaltungsgebäuden, Stadtbibliothek, Schule, Wohn- und Geschäftshäusern; bedeutend für die Stadtgeschichte und die Geschichte des Städtebaus um 1900",
"Denkmalzone Ballplatz, Eppichmauergasse, Maria-Ward-Straße, Ölgasse, Pfaffengasse, Stephansberg, Willigisplatz, Willigisstraße", Mainz-Altstadt,"charakteristisches, auf das frühe Mittelalter zurückgehendes Straßennetz, nach Zerstörungen des Dreißigjährigen Krieges im 17. und 18. Jahrhundert locker und mit Gärten durchsetzt bebaut mit Stiftsherrenhäusern und Adelshöfen, zugehörig die Garten- und Grundstücksmauern, die Futtermauer des die Stephanskirche tragenden Berges und die Willigisplatz und Stefansstraße verbindende Treppenanlage",
Denkmalzone Bilhildisstraße 5–15, Mainz-Altstadt,"geschlossene Häuserreihe aus gleichartigen Wohnhäusern, die ab 1769 vom Baumeister Johannes Dielmann zum Wiederverkauf errichtet wurden, dreigeschossige traufständige Putzbauten mit rustizierten Eckeinfassungen und Zwerchhäusern, Nr. 7–15 im Zweiten Weltkrieg ausgebrannt und wiederaufgebaut",
"Denkmalzone Breidenbacherstraße 9–19 (ungerade Nummern), 2–6 (gerade Nummern)", Mainz-Altstadt,"geschlossene überwiegend dreigeschossige Bebauung der Breidenbacherstraße mit Einmündung in die Gaustraße, entstanden zwischen 1860 und 1880",
"Denkmalzone Domstraße 8–14 (gerade Nummern), Liebfrauenplatz 6", Mainz-Altstadt,"einheitliche Front gleich gebildeter spätklassizistischer dreigeschossiger Putzbauten gegenüber der Umbauung des Domkreuzgangs anstelle der Stiftsbauten des untergegangenen Liebfrauenstiftes, um 1840, dem bischöflichen Baurat Joseph Roedler zugeschrieben",
"Denkmalzone Emmerich-Josef-Straße 1, 3, 5, 7, 2a, 2/4, 6/8, 10, Walpodenstraße 1, Breidenbacherstraße 25", Mainz-Altstadt,"oberer Teil der Emmerich-Josef-Straße, der ehemaligen Hauptstraße des neuen Kästrich, repräsentative Wohn- und Handelsbauten zwischen 1845 und 1870 geschlossen dreigeschossig nach weitgehend einheitlichem Konzept in zurückhaltenden klassizistischen Formen errichtet, Fassade von Nr. 5 nachträglich 1881 vorgeblendet, Betonung der Ecken durch Erker an den Häusern Breidenbacherstraße 25, Walpodenstraße 1 und (rekonstruiert) Emmerich-Josef-Straße 2a",
"Denkmalzone Fischergasse 4–12 (gerade Nummern), Mailandsgasse 14/16, Rheinstraße 39/41, Rotekopfgasse 2–6", Mainz-Altstadt,"zwischen Fischtor und Heilig-Geist-Spital gelegene Gassen zu beiden Seiten der Stadtmauer, entstanden nach einem großen Brand 1561, von den Zerstörungen des Zweiten Weltkriegs weitgehend verschont; Fischergasse: einheitlich geprägter Straßenraum des 18. Jahrhunderts, Rheinstraße 39 und 41: stark überformte Nachfolgebauten der schon 1625/26 verzeichneten Häusergruppe, Rotekopfgasse 6: großvolumiges Doppelwohn- und Geschäftshaus, 1836; Rotekopfgasse 4: Weinstube Rote Kopf; Mailandsgasse 14 und 16: schlichte Putzbauten, zweite Hälfte des 19. Jahrhunderts",
"Denkmalzone Große Bleiche 49/51, Bauhofstraße 1, 3/5, Mittlere Bleiche 40, Schießgartenstraße", Mainz-Altstadt,"zwischen 1742 und 1774 zusammengewachsene Blockrandbebauung aus Adelshöfen und kurfürstlichem Marstall, von größter städtebaulicher Wirkung und Bedeutung die symmetrische Durchbildung ganzer Blockfassaden, hochrangiges Dokument einheitlicher Bauorganisation",
"Denkmalzone Jakobsbergstraße 6–12 (gerade Nummern), Neutorstraße 33–37 (ungerade Nummern)", Mainz-Altstadt,"Blockbebauung an der Ecke Jakobsbergstraße/Neutorstraße, die im Kern auf die 1791 errichteten einheitlichen dreigeschossigen Mietzinshäuser des Klosters Jakobsberg zurückgehen, im 19. Jahrhundert nach einer Zeit mit Kasernennutzung verändert, zum Teil über den alten Kellern neu errichtet, klassizistische Fassadengestaltung",
"Denkmalzone Kapuzinerstraße[1] 14–54 (gerade Nummern), 15–41 (ungerade Nummern), Hänleingäßchen 1, 3, 5, Scharfensteinergäßchen 1, 2, 3, Templergasse", Mainz-Altstadt,"die gepflasterte Kapuzinerstraße mit den gepflasterten schmalen parallelen Gässchen, die von ihr zum Rhein führten, (heute zur Rheinstraße) samt ihrer Randbebauung, einschließlich der Ignazkirche und des vor ihr liegenden Platzes; verschieferte oder verputzte Fachwerkhäuser mit massiven Erdgeschossen und Zwerchhäusern, kleine Bürgerhäuser und großzügige Wohnhäuser wohlhabender Bürger des 18. Jahrhunderts, Nr. 33/35 im Kern aus dem 17. Jahrhundert, im Bereich des ehemaligen Kapuzinerklosters und des Scharfensteiner Hofes (Nr. 14–16) Mietshäuser des 19. und 20. Jahrhunderts",
"Denkmalzone Kartäuserstraße 6–16 (gerade Nummern), 5–13 (ungerade Nummern)", Mainz-Altstadt,"von Stadtbaumeister Joseph Laské 1862 projektierte und anschließend rasch von verschiedenen Bauherren und Architekten bebaute Straße, (vom Komplex des Kartäuser Klosterhofes Teile erhalten in Nr. 14 und 16 und Augustinerstraße 27) , drei- und viergeschossige traufständige Häuser in klassizistischer Stilhaltung",
"Denkmalzone Münsterplatz (Münsterplatz 2, Schillerstraße 13)", Mainz-Altstadt,"Neubebauung der Südseite des Münsterplatzes mit der Einmündung der Schillerstraße als Ergebnis eines 1926 ausgeschriebenen Wettbewerbs (Gewinner H. F. W. Kramer und Georg Schaupp) mit dem Komplex aus Telegraphenamt und Finanzamt unter ausdrücklicher Berücksichtigung des barocken Erthaler Hofes, kubisch gegliederte höhengestaffelte Baugruppe in den Formen der neuen Sachlichkeit, das größte städtebauliche Unternehmen der Moderne in Mainz",
"Denkmalzone Münsterstraße 12–18 (gerade Nummern), 27, 29, Walpodenstraße 37", Mainz-Altstadt,"zwischen 1895 und 1905 entstandene Eckbebauung aus viergeschossigen Mietshäusern mit Klinkerfassaden, Erkern und Balkonen an der damals im Bereich des niedergelegten Münstertores neu angelegten Straßen; charakteristisches Beispiel Mainzer Wohnhausbaus der Zeit um 1900",
Denkmalzone Neue Universitätsstraße 5–9 (ungerade Nummern), Mainz-Altstadt,"ehemalige Professorenhäuser, dreigeschossige identische Wohnhäuser, würfelförmige sandsteingegliederte Putzbauten, französisch, 1784–86, Architekt Rudolph Eickemeyer",
"Denkmalzone Neutorstraße 3–13 (ungerade Nummern), 4, 6, 6a, Dagobertstraße 1–7 (ungerade Nummern)", Mainz-Altstadt,"Bebauung des östlichen Endes der Neutorstraße einschließlich der Einmündung in die Dagobertstraße am südlichen Rand der Altstadt mit drei- und viergeschossigen Wohn- und Geschäftshäusern, qualitätvoller Baubestand, der in der Zeit von 1700 bis 1900 zusammengewachsen ist",
Denkmalzone Schillerplatz, Mainz-Altstadt,"einheitlich geschlossener Platzraum mit seit dem 16. Jahrhundert verbürgtem, aber sicherlich älterem Grundriss, die moderne Baumbepflanzung hat ihr Vorbild in den 1768 angelegten Baumreihen, der moderne Fassnachtsbrunnen in einem 1760 errichteten Laufbrunnen",
"Denkmalzone Schönbornstraße 1–7 (ungerade Nummern), 4, 6, 8, Holzhofstraße 32", Mainz-Altstadt,"1864 und 1866 vom Bauunternehmer Christian Lothary errichtete Mietshäuser an der östlichen Schönbornstraße, die im Rahmen des innerstädtischen Ausbaus angelegt wurde, einfache viergeschossige rote Blankziegelbauten mit Zwerchhäusern",
Denkmalzone Untere Gaustraße (Gaustraße 42–52), Mainz-Altstadt,"Die die östliche Straßenwand der Gaustraße zwischen Osteiner Hof und Ölgasse bildende Bebauung aus zwei- bis viergeschossigen Wohn- und Geschäftsbauten samt den Höfen und Rückgebäuden geht auf das 18. Jahrhundert zurück, äußere Erscheinung aus dem 19. Jahrhundert, (Nr. 40/42 ehemalige Seifensiederei)",
Denkmalzone Walpodenstraße 7–19 (ungerade Nummern), Mainz-Altstadt,"Zeile repräsentativer Wohnhäuser in Neurenaissance- und neugotischen Formen, 1860er Jahre",
"Denkmalzone Weihergarten (Weihergarten 5–11 (ungerade Nummern), 6–12 (gerade Nummern), Weihergartenstraße 5–11 (ungerade Nummern), 6–12 (gerade Nummern), 14a–20 (gerade Nummern), Eppichmauergasse 10)", Mainz-Altstadt,"Teil des 1789 planmäßig nach Plänen des Architekten Emanuel Joseph von Herigoyen angelegten Quartiers innerhalb der Immunität des Domkapitels, Bebauung bis 1793 abgeschlossen, Weihergarten 10, 11, 12 waren Domherrenkurien, die übrigen Bürgerhäuser, dreigeschossige barock-klassizistische und klassizistische Bauten, (Weihergarten 6 Rekonstruktion von 1977/78), Dokument der Stadtbaukunst des späten 18. Jahrhunderts; zugehörig das Kopfsteinpflaster",
"Denkmalzone Weißliliengasse 19, 21, 23, Willigisgasse 8", Mainz-Altstadt,"südliche Eckbebauung der Straßenecke Weißliliengasse/Willigisgasse, 1904/05 von Reinhold Weisse errichtete Wohn- und Geschäftshäuser in einheitlichem Verband mit variierten Jugenstilfassaden",
"Denkmalzone Zanggasse 9a, 24, 26, 28, 30, 32/34, 36, Hintere Bleiche 23", Mainz-Altstadt,"typische Wohn- und Geschäftsstraße des Stadterweiterungsgebietes, 1885–97 geschlossen viergeschossig bebaut, mit schlichten Neurenaissancefassaden",
Acker 2, Mainz-Altstadt,"kleine Hofanlage, um 1800; Putzbau, teilweise Fachwerk",
Acker 4, Mainz-Altstadt,"Putzbau, teilweise Fachwerk, teilweise verschiefert, Ende des 18. Jahrhunderts",
Acker 10, Mainz-Altstadt,"nachbarocke Hofanlage, bezeichnet 1794; Putzbau, teilweise wohl Fachwerk",
Adolf-Kolping-Straße 8/10, Mainz-Altstadt,"Katholische ehemalige Armklarakirche, heute Kapelle des Kolpinghauses; kleiner, im Kern gotischer Saalbau, hoch-/spätgotischer Chor mit hochgotischer Deckenmalerei, Kapitelskapelle, kurz nach 1330; Ausstattung; Klostergebäude zerstört, Neubauten teilweise auf altem Grundriss, 1952/53 und 1965; an der Klarastraße barockes Klosterportal, 1724–27",
(an) Adolf-Kolping-Straße 17, Mainz-Altstadt,"Hausmadonna, Immakulata in Baldachinnische, um 1745; Scheitelstein als Spolie in der Durchfahrt",
Albinistraße 3, Mainz-Altstadt,"breitgelagertes fünfgeschossiges Zeilenwohnhaus, gotisierende Formen, 1904/05, Architekt Johann Theodor Schmitt",
Albinistraße 6, Mainz-Altstadt,"fünfgeschossiges späthistoristisches Zeilenwohnhaus, 1903/04, Architekt Johann Theodor Schmitt",
Albinistraße 8, Mainz-Altstadt,"fünfgeschossiges späthistoristisches Zeilenwohnhaus, 1904, Architekt Johann Theodor Schmitt",
Albinistraße 10, Mainz-Altstadt,"viergeschossiges späthistoristisches Zeilenwohnhaus mit ausgebautem Mansarddach, 1902, Architekt Johann Theodor Schmitt",
Albinistraße 11, Mainz-Altstadt,"fünfgeschossiges Jugendstil-Zeilenwohnhaus, 1906, Architekt Martin Zimmermann",
Albinistraße 12, Mainz-Altstadt,"breitgelagertes späthistoristisches Zeilenwohnhaus, 1904, Architekt Johann Theodor Schmitt",
Albinistraße 13, Mainz-Altstadt,"fünfgeschossiges späthistoristisches Zeilenwohnhaus, Jugendstilformen, 1904, Architekt Peter Scheuren",
Albinistraße 15, Mainz-Altstadt,"fünfgeschossiges späthistoristisches Zeilenwohn- und Geschäftshaus, 1903, Architekt Reinhold Weisse",
Albinistraße 17/19, Mainz-Altstadt,"spiegelsymmetrisches späthistorisches Doppelhaus, 1902, Architekt Adam Roedler",
Alte Universitätsstraße 17, Mainz-Altstadt,"Alte Universität; viergeschossiger kubischer Walmdachbau, 1615-18, Portale von Johannes Jucker, Aschaffenburg",
Am Brand 6, Mainz-Altstadt,"Haus Zum Korb; dreigeschossiger, im Kern spätgotischer Putzbau auf trapezförmigem Grundriss mit Treppengiebel, polygonaler Erkerturm; Muttergottes, 14. Jahrhundert (Abguss), Konsole bezeichnet 1624",
Am Gautor, Mainz-Altstadt,"Gautor; barocker Rotsandsteinbau, 1670 im Zuge des Ausbaus der Festungsanlagen errichtet",
Am Rathaus 2, Mainz-Altstadt,"dreigeschossiges Wohnhaus mit Kastenerker, 1890, Architekt Gustav Peisker",
Am Rathaus 4, Mainz-Altstadt,"dreigeschossiges Wohnhaus mit Back-Sandsteinfassade, 1890, Architekt Gustav Peisker",
Am Rathaus 6, Mainz-Altstadt,"ursprünglich viergeschossiges Zeilenwohnhaus, symmetrische Fassade mit zwei Balkonen, 1891/92, Architekten Zulehner & Cie.",
Am Rathaus 8, Mainz-Altstadt,"viergeschossiges Zeilenwohnhaus mit polygonalem Erker, Mansarddach, 1889, Architekt wohl Conrad Jacoby",
Am Rathaus 10, Mainz-Altstadt,"repräsentatives Einfamilienhaus, dreiseitig freistehender Mansarddachbau, Neurenaissance, 1888, Architekt Ludwig Becker",
Am Winterhafen, Mainz-Altstadt,"Drehbrücke; Eisenkonstruktion mit Holzbohlen belegter Fahrbahn auf Sandsteinpfeilern, 1877",
Am Winterhafen 4 (Ehemals Hausnummer 21), Mainz-Altstadt,"früheres Gebäude der Wasserschutzpolizei, Derzeit genutzt als Bürogebaude; sandsteingegliederter neubarocker Putzbau mit Mansard(walm)dach, um 1913/14",
