"Südöstliches Altstadtgebiet', Augustinerstraße, Augustinergässchen, Augustinerreul, Bädergasse, Bischofsplatz, Bockshöfchen, Domstraße, Erbacherhofgasse, Grebenstraße, Gutenbergplatz, Heiliggrabgasse, Heringsbrunnengasse, Himmelsgasse, Höfchen, Hollagässchen, Johannisstraße, Kartäuserstraße, Kirschgarten, Markt, Leichhof, Leichhofstraße, Liebfrauenplatz, Nasengässchen, Rochusstraße, Schöfferstraße, Schönbornstraße, Weihergarten, Weihergartenstraße, Weintorstraße (Denkmalzone)",Mainz,,,"innerhalb der römischen Ummauerung gelege; von den Bombenschäden des Zweiten Weltkrieges weitgehend verschontes Gebiet um den Dom und südlich daran unschließend, das eng bebaut Gebiet dokumentiert städtische Entwicklungsgeschichte und Stadtbaukunst von den frühmittelalterlichen Anfängen bis zu den planmäßigen Ausbaumaßnahmen des späten 18. und 19. Jh."
"Zitadelle', Zitadellenweg (Denkmalzone)",Mainz,49.992862,8.247253,"regelmäßige Rechteckanlage mit vier Eckbastionen, Graben und Contrescarpe, Kalkstein- und Sandsteinmauerwerk, ab 1655, Bastionen Germanicus und Alarm 1659 vollendet, Bastionen und Kurtinen Drusus und Tacitus 1661 vollendet; rheinseitige Toranlage der Haupttraverse, bez. 1660, Arch. Antonio Petrini; dreiflügeliger Kommandantenbau, 1696 begonnen, 1833 erhöht, nach Kriegszerstörung 1950 in ursprünglicher Form als zweigeschossiger Mansarddachbau wiederhergestellt; Koppelkompaniekaserne, 1914; Citadellkaserne, 1861; Kasino- und Küchenbau (neubarock); bei Bau D Drususdenkmal (Eigel- oder Eichelstein), Kern eines römischen Bauwerks, urspr. mit Steinummantelung versehenes Gussmauerwerk"
"Albinistraße 3, 6, 8, 10, 11, 12, 13, 15, 17/ 19, Diether-von-Isenburg-Straße 15, Ernst-Ludwig- Straße 3, 7, 11, 14, Greiffenklaustraße 1, 2, 3, 9, 11/ 13, Kaiserstraße 60, 64, 66, 70, Rheinallee 3, 3A, 3B, 3C, 3D, ""Albinistraße"" (Denkmalzone)",Mainz,,,"Gelände um das Kurfürstliche Schloss, nach Aufgabe des Bereichs durch das Militär ab 1899 im Rahmen eines Wettbewerbs geplantes neues Stadtzentrum zwischen Altstadt und Neustadt, Neuanlage von Albinistraße (geplant als Geschäftsstraße), Greiffenklaustraße, Ernst- Ludwigstraße und Diether-von Isenburgstraße, bebaut ab 1902 mit Gerichts- und Gefängnisgebäuden, Verwaltungsgebäuden, Stadtbibliothek, Schule, Wohn- und Geschäftshäusern; bedeutend für die Stadtgeschichte und die Geschichte des Städtebaus um 1900"
"Am Gautor 15, Kästrich 1-5 (ungerade Nrn.), ""Am Gautor"" (Denkmalzone)",Mainz,49.992862,8.247253,"neubarocke Blockrandbebauung aus Wohn- und Geschäftshäusern an der Ecke Kästrich/Am Gautor, die westliche Flanke des geplanten neuen Stadteingangs anstelle des 1896 abgebrochenen bzw. translozierten Gautors"
"Am Linsenberg/ Ecke Langenbeckstraße, Fort Josef (Denkmalzone)",Mainz,49.992862,8.247253,"zw. 1713 und 1724 angelegt, an der Weststeite Kriegerdenkmal 1914/1918, Otto Schneider Mainz"
"Am Römerlager 25-43 (ungerade Nrn.), Am Fort Josef 2, 1-5 (ungerade Nrn.), Am Linsenberg 2-6 (gerade Nrn.), 28-40 (gerade Nrn), Augustusstraße 1-3 (ungerade Nrn), Hochgesandstraße 1, Langenbeckstraße 28-38 (gerade Nrn.), ""Am Römerlager"" (Denkmalzone)",Mainz,,,"Wohngebiet auf dem Höhenplateau zwischem barockem Bastionenring und dem barocken Außenfort, entstanden ab 1920 für verschienene Bauträger, offene Blockbebauung in neubarocker Gestaltung in der Art des Heimatstils, zweigeschossige Putzbauten mit ausgebauten Mannsarddächern, Vorgärten, im Blockinneren Wirtschaftgärten, Baumreihen zur Abgrenzung der Fahrbahn"
"Am Rosengarten 1-31 (ungerade Nrn.), 2-14 (gerade Nrn.), Am Klostergarten 1-15 (ungerade Nrn.), 2-6 (gerade Nrn.), Am Stiftswingert 3, 5, An der Karlsschanze 5, 7, 10-16 (gerade Nrn.), Auf dem Albansberg 2-14 (gerade nrn.), Hechtsheimer Straße 62-78 (gerade Nrn.), ""Am Rosengarten"" (Denkmalzone)",Mainz,,,"bevorzugte Villengegend des Mainzer Großbürgertums, qualitätvolle Villenbauten auf großen Grundstücken, Darmstädter Jugendstil, Neubarock bzw. Landhausstil, tlw. bauzeitliche Einfriedungen, 1909-14; straßenbildprägend; Wohnhausbauten für französische Offiziersfamilien, 1919-21 im Auftrag des Reichsvermögensamtes von verschiedenen Mainzer Architekten erstellt; rhythmisch gruppiert, zweigeschossige Massivbauten in klassizistischen Formen, Architekurteile aus Kunststein, verschieferte Walmdäche, zugehörig die Gärten;"
"An der Favorite 2, 4, Göttelmannstaße 56 (Denkmalzone)",Mainz,49.992862,8.247253,"Gruppe von 1922 durch die Reichsvermögenverwaltung errichtete Bauten für französische Offiziersfamilien, drei zweigeschossige Zweispänner, Putzbauten mit sparsamen Sandsteingliederungen und Walmdächern an städtebaulich markanter Stelle"
"Auf der Bastei 1, 2, 3 (Denkmalzone)",Mainz,49.992862,8.247253,"Ensemble aus Einzelvilla (Nr. 2, ehem. Villa Jung) und den Zwillingsvillen Nr. 1 und 3 (ehem. Villen Behnke) in beherrschender Lage im südlichen Teil der einstigen Bastion Alexander, 1913 errichtet"
"Auf der Steig 2/4, 6/8, 10, 12/14, Am Frankenhag 11/13, ""Auf der Steig"" (Denkmalzone)",Mainz,49.992862,8.247253,"anspruchsvolle Wohnhaussiedlung in reichem Landhausstil, 1909/10 von der ""Reichskommission für die Mainz-Kasteler Festungsgrundstücke"" von Paul Kubo; drei Doppelhäuser, ein Einzelhaus, geschlossene Einfriedung; zu Auf der Steig 4: Pavillon mit neubarocker Nischenädikula, Statue des hl. Alban"
