Denkmalzone Burg Grenzau,westlich von Grenzau (Burgstraße 25),Höhr-Grenzhausen,1213!vor 1213,"Bering der vor 1213 von Heinrich von Isenburg errichteten, 1635 zerstörten Anlage, Bergfried aus dem 14. Jahrhundert, Torbau mit Treppenturm, Bastion, wohl von Anfang des 17. Jahrhunderts",//commons.wikimedia.org/wiki/Category:Burg_Grenzau,50.450241,7.655452
Altar,"Brexbachstraße, bei Nr. 1",Höhr-Grenzhausen,1650!zweite Hälfte des 17. Jahrhunderts,"Marienaltar, Sandstein, zweite Hälfte des 17. Jahrhunderts",Kein Bild vorhanden,50.451288,7.657596
Fachwerkhaus,Burgstraße 10,Höhr-Grenzhausen,1675!Ende des 17. Jahrhunderts,"Fachwerkhaus, großteils massiv ersetzt und verputzt, Ende des 17. Jahrhunderts",Kein Bild vorhanden,50.450897,7.657821
Osters Mühle,Burgstraße 11,Höhr-Grenzhausen,1700,"Bruchsteinbauten, Wohnhaus bezeichnet 1700, Scheune unter Krüppelwalmdach, 19. Jahrhundert",Kein Bild vorhanden,50.449445,7.655211
Gasthaus Burg Grenzau,Burgstraße 13,Höhr-Grenzhausen,1631,"stattlicher Fachwerkbau, tteilweise massiv, bezeichnet 1631",Kein Bild vorhanden,50.45085,7.6567
Fachwerkhaus,Burgstraße 17,Höhr-Grenzhausen,1775!spätes 18. Jahrhundert,"verputztes und verschiefertes Fachwerkhaus, teilweise massiv, Mansardwalmdach, wohl aus dem späten 18. Jahrhundert",Kein Bild vorhanden,50.450924,7.656385
Fachwerkhaus,"Burgstraße, hinter Nr. 17",Höhr-Grenzhausen,1800!erste Hälfte des 19. Jahrhunderts,"Fachwerkhaus, teilweise massiv, erste Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.450828,7.656247
Knochenmühle,Burgstraße 18,Höhr-Grenzhausen,1700!18. oder frühes 19. Jahrhundert,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 18. oder frühen 19. Jahrhundert, Mühlen- und Wirtschaftsgebäude unter Krüppelwalmdach, wohl älter; verschiedene jüngere Anbauten",Kein Bild vorhanden,50.451085,7.657006
Katholische Filialkirche St. Peter und Paul,Burgstraße 26,Höhr-Grenzhausen,1796,"Saalbau, bezeichnet 1796",Kein Bild vorhanden,50.451363,7.656554
Gehöft Johannisburg,Burgstraße ohne Nummer,Höhr-Grenzhausen,1924,"Streckhof, bezeichnet 1924",Kein Bild vorhanden,50.452293,7.655357
Denkmalzone Jüdischer Friedhof,nordwestlich von Grenzhausen am Waldrand; Flur Hinter der Röhrcheswiese,Höhr-Grenzhausen,1884,"1884 angelegt, 33 Grabsteine, der älteste von 1884",Kein Bild vorhanden,50.447355,7.649988
