Denkmalzone Sporkenburg,südlich von Eitelborn am Westhang des Emsbachtals,Eitelborn,1310!um 1310,"stattliche Mauerreste des Berings der um 1310 von Heinrich II. von Helfenstein neu errichteten, 1635 zerstörten Burg, Schildmauer, Ecktourellen, Halsgraben, weiträumiger Zwinger",//commons.wikimedia.org/wiki/Category:Sporkenburg,50.366631,7.728464
Katholische Pfarrkirche Mariä Himmelfahrt,Gartenstraße 30,Eitelborn,1923!1923–25,"Bruchsteinsaal, bezeichnet 1923–25",Kein Bild vorhanden,50.374121,7.723333
Hofanlage,Oberdorfstraße 19,Eitelborn,1875!spätes 19. Jahrhundert,"L-förmige Anlage mit Fachwerkwohnhaus und -scheune, Bohnenstangenfachwerk, spätes 19. Jahrhundert",Kein Bild vorhanden,50.375948,7.722496
Fachwerkhaus,Unterdorfstraße 20,Eitelborn,1500!16. Jahrhundert,"Fachwerkhaus, teilweise massiv, 16. Jahrhundert",Kein Bild vorhanden,50.37581,7.723714
Fachwerkhaus,Unterdorfstraße 27,Eitelborn,1600!17. oder 18. Jahrhundert,"Fachwerkhaus, teilweise massiv, 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.376578,7.722717
Fachwerkhaus,Unterdorfstraße 37,Eitelborn,1750!zweite Hälfte des 18. Jahrhunderts,"Fachwerkhaus, teilweise massiv, wohl aus der zweiten Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.375938,7.72384
Kreuz,Willy-Arndt-Straße,Eitelborn,1805,"Kruzifix, Holz, bezeichnet 1805",Kein Bild vorhanden,50.376075,7.72626
Schulhaus,Willy-Arndt-Straße 27,Eitelborn,1900!um 1900,"ehemalige Schule; Bruchsteinbau, um 1900",,50.360896,7.703899
Hofgut Denzerheide,südwestlich des Ortes,Eitelborn,1600!17. Jahrhundert,"Vorwerk, Fachwerkhaus, 17. Jahrhundert",,nope,nope
Denkmal,südwestlich des Ortes auf dem Gelände des Hofguts Denzerheide,Eitelborn,"",ehemalige Grenzsäule (?) des Herzogtums Nassau,,nope,nope
Stundenstein,westlich des Ortes an der B 49/K 113,Eitelborn,1789,"kurtrierscher Stundenstein, Obelisk, bezeichnet 1789",,nope,nope
