Katholische Pfarrkirche St. Bartholomäus,"Windhagen
Hauptstraße",Windhagen,1869–1870,"neugotische Hallenkirche; Architekt: Vincenz Statz, Köln; Wegekreuz, bezeichnet 1731; Grabkreuze, 18. Jahrhundert",Kein Bild vorhanden,50.643461,7.354305
Wegekreuz,"Windhagen
Hauptstraße",Windhagen,1702!bezeichnet 1702,"",Kein Bild vorhanden,50.643399,7.353674
Wegekreuz,"Windhagen
Hauptstraße",Windhagen,1878!bezeichnet 1878,neugotisch,Kein Bild vorhanden,50.643911,7.354174
Wegekreuz,"Windhagen
Hauptstraße",Windhagen,1886!bezeichnet 1886,"",Kein Bild vorhanden,50.640118,7.361138
Wegekreuz,"Windhagen
Hauptstraße",Windhagen,1918!bezeichnet 1918,"",Kein Bild vorhanden,50.636499,7.365391
Fachwerkhaus,"Windhagen
Hauptstraße 46",Windhagen,1750!18. Jahrhundert; 19. Jahrhundert (Verlängerung),"",Kein Bild vorhanden,50.630773,7.345322
Wirtschaftsgebäude des ehemaligen Pfarrhofs,"Windhagen
(zu) Hauptstraße 49",Windhagen,1815!Anfang des 19. Jahrhunderts,Fachwerkbau,Kein Bild vorhanden,50.63174,7.335588
Wegekreuz,"Windhagen
(bei) Heckener Straße 7",Windhagen,1875!bezeichnet 1875,"",Kein Bild vorhanden,50.641079,7.379486
Wegekreuz,"Windhagen
Gemarkung: östlich der Ortslage an der Straße nach Hüngsberg",Windhagen,1880!bezeichnet 1880 (?),Nischenkreuz,Kein Bild vorhanden,50.643587,7.37144
Wegekreuz,Birken,Windhagen,1880!um 1880,"",Kein Bild vorhanden,50.635552,7.327607
Wegekreuz,"Frohnen
Frohner Straße",Windhagen,1880!um 1880,"",,50.618414,7.364902
Katholische Filialkirche Heilige Dreifaltigkeit,"Hallerbach
Hallerbacher Straße",Windhagen,1614!angeblich bezeichnet 1614,kleiner Saalbau,,50.658503,7.358817
Fachwerkhaus,"Hüngsberg
Hüngsberg 11 (an der K 30)",Windhagen,1750!18. Jahrhundert,teilweise massiv,,50.657106,7.365567
"neubarocke Walmdachvilla; Gesamtanlage mit Park, Mauer und Torpfosten","Johannisberg
Johannisberg 4",Windhagen,1920!um 1920/30,teilweise massiv,,nope,nope
Katholische Kapelle St. Sebastian,"Rederscheid
Am Kapellchen",Windhagen,1803!bezeichnet 1803,"kleiner Saal, Fachwerkgiebel, Barockaltar",,nope,nope
Wegekreuz,"Rederscheid
Rederscheider Straße",Windhagen,1856!bezeichnet 1856,"",,,
Hohner Mühle,"Rederscheid
Gemarkung",Windhagen,1750!im Kern aus dem 18. Jahrhundert,"",,,
Kapelle,"Stockhausen
Stockhausener Straße",Windhagen,1884–1886,neugotischer Backsteinsaal,,,
Fachwerkhaus eines ehemaligen Gräflich-Nesselroder Hofes,"Stockhausen
Weiherstraße ohne Nummer",Windhagen,1700!im Kern vor 1700,"teilweise Rähm-, teilweise Ständerbau,",,,
Wegekreuz,"Stockhausen
(bei) Weiherstraße 5",Windhagen,1876!bezeichnet 1876,"",,,
Katholische Pfarrkirche St. Bartholomäus,"Windhagen
Hauptstraße",Windhagen,1869–1870,"neugotische Hallenkirche; Architekt: Vincenz Statz, Köln; Wegekreuz, bezeichnet 1731; Grabkreuze, 18. Jahrhundert",Kein Bild vorhanden,50.643461,7.354305
Wegekreuz,"Windhagen
Hauptstraße",Windhagen,1702!bezeichnet 1702,"",Kein Bild vorhanden,50.643399,7.353674
Wegekreuz,"Windhagen
Hauptstraße",Windhagen,1878!bezeichnet 1878,neugotisch,Kein Bild vorhanden,50.643911,7.354174
Wegekreuz,"Windhagen
Hauptstraße",Windhagen,1886!bezeichnet 1886,"",Kein Bild vorhanden,50.640118,7.361138
Wegekreuz,"Windhagen
Hauptstraße",Windhagen,1918!bezeichnet 1918,"",Kein Bild vorhanden,50.636499,7.365391
Fachwerkhaus,"Windhagen
Hauptstraße 46",Windhagen,1750!18. Jahrhundert; 19. Jahrhundert (Verlängerung),"",Kein Bild vorhanden,50.630773,7.345322
