Boorhausstraße 1,Bernkastel-Kues,"Quereinhaus; Fachwerk des 18. Jahrhunderts, massives Erdgeschoss bezeichnet 1835, Wirtschaftsteil etwas jünger",49.909199,7.041543,
Boorhausstraße 7/8,Bernkastel-Kues,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",49.908909,7.042199,
Goldbachstraße 22,Bernkastel-Kues,"Hofanlage; Fachwerkhaus, teilweise massiv, 18. Jahrhundert, verputzte Fachwerkscheune",49.90935,7.041777,
Goldbachstraße 31a,Bernkastel-Kues,"Evangelische Kirche; kleiner Saalbau, 1717/19, Turm im Kern älter",49.909118,7.042397,
Goldbachstraße 32,Bernkastel-Kues,"Wohnhaus, teilweise Fachwerk, 18. Jahrhundert, massive Erneuerungen, bezeichnet 1813",49.909135,7.042612,
Denkmalzone Ortskern,Bernkastel-Kues,"ehemals ummauerter mittelalterlicher Stadtkern mit ungewöhnlich dichter historischer Substanz; bereits im 16. Jahrhundert weitgehende Überbauung der Grundstücksflächen mit in der Regel drei- und viergeschossigen Wohnhäusern mit reichen Fachwerkfassaden; davon erhalten zahlreiche des 16. und 17. Jahrhunderts, durchsetzt mit Bauten des 18. und des 19. Jahrhunderts sowie wenigen jüngeren; von der Stadtmauer außer dem Graacher Tor nur wenige Reste erhalten, dennoch zeichnet sich die Begrenzung der mittelalterlichen Stadt nach Westen, Norden und Osten deutlich ab; an der Moselfront mehrere repräsentative, zum Teil öffentliche Bauten nördlich und südlich der mittelalterlichen Stadt in die Denkmalzone einbezogen",49.914298,7.069831,
Denkmalzone Jüdischer Friedhof,Bernkastel-Kues,"mit Bruchsteinmauer mit schmiedeeisernem Tor umfriedetes Areal mit etwa 30 Grabsteinen, wohl aus dem 19. und 20. Jahrhundert",49.914298,7.069831,
Alte Römerstraße 1,Bernkastel-Kues,"viergeschossiger Fachwerkbau, ehemaliges Hallenerdgeschoss, teilweise verschiefert, bezeichnet 1588",49.915917,7.076056,
Alte Römerstraße 2,Bernkastel-Kues,"viergeschossiger Fachwerkbau, ehemaliges Hallenerdgeschoss, teilweise verschiefert, wohl aus dem 17. Jahrhundert",49.915835,7.075994,
Alte Römerstraße 3,Bernkastel-Kues,"Giebelhaus; viergeschossiger Fachwerkbau, ehemaliges Hallenerdgeschoss, teilweise verschiefert, bezeichnet 1588",49.915789,7.076074,
Alte Römerstraße 4,Bernkastel-Kues,"Giebelhaus; viergeschossiger Fachwerkbau, Hallenerdgeschoss, bezeichnet 1656",49.915777,7.076155,
Alte Römerstraße 5,Bernkastel-Kues,"Giebelhaus; viergeschossiger Fachwerkbau, teilweise massiv, wohl aus dem 18. Jahrhundert",49.915766,7.076218,
Alte Römerstraße 9,Bernkastel-Kues,"Giebelhaus; viergeschossiger Fachwerkbau, teilweise massiv, wohl aus dem 17. Jahrhundert",49.915795,7.075877,
Am Kirchhof 3/4,Bernkastel-Kues,"dreigeschossiger Fachwerkbau, Hallenerdgeschoss, bezeichnet 1649",49.915928,7.075176,
Burgstraße 4,Bernkastel-Kues,"dreigeschossiger Fachwerkbau, teilweise massiv, wohl aus der zweiten Hälfte des 17. Jahrhunderts",49.914936,7.077691,
(zu) Burgstraße 7,Bernkastel-Kues,"ehemalige Synagoge; Bruchsteinbau, wohl vom Ende des 19. Jahrhunderts",49.914745,7.077691,
Burgstraße 18,Bernkastel-Kues,"dreigeschossiges Fachwerkhaus, verputzt, eventuell noch aus dem 16. Jahrhundert",49.914298,7.078105,
Burgstraße 45,Bernkastel-Kues,dreigeschossiger Bruchsteinbau,49.912889,7.078114,
Burgstraße 47,Bernkastel-Kues,"Heiliggeist-Kirche; Kapelle des ehemaligen Heiliggeist-Hospitals; Saalbau, 1671, Westfassade um 1872",49.912604,7.078132,
Burgstraße 87,Bernkastel-Kues,"dreigeschossiges Fachwerkhaus, teilweise massiv",49.914408,7.077808,
Burgstraße 95/96,Bernkastel-Kues,"Fachwerkhaus, im Kern mittelalterlich (angeblich von 1456), mehrfach verändert, bezeichnet 1673",49.914756,7.077494,
Gestade 1,Bernkastel-Kues,"dreigeschossiger neunachsiger Schieferbau, Mittelrisalit mit Akroterien und allegorischer Figur, angeblich bezeichnet 1869",49.917749,7.074215,
Gestade 1b,Bernkastel-Kues,"stattliches späthistoristisches Weingutshaus, teilweise Fachwerk, Anfang des 20. Jahrhunderts",49.917488,7.074404,
Gestade 2,Bernkastel-Kues,"Hotel und Restaurant; stattlicher dreigeschossiger Mansarddachbau, Schiefer, um 1890/1900",49.917326,7.074511,
(an) Gestade 3b,Bernkastel-Kues,"großer Kruzifix, bezeichnet 1751",49.916926,7.074655,
Gestade 4,Bernkastel-Kues,"Gasthaus Altes Brauhaus; stattlicher dreigeschossiger Walmdachbau, spätes 18. Jhs., heutiges Erscheinungsbild wohl vom Anfang des 20. Jahrhunderts",49.916566,7.074709,
Gestade 6,Bernkastel-Kues,"ehemalige Schule; neugotischer Schieferbau, bezeichnet 1880",49.916207,7.074745,
Gestade 7,Bernkastel-Kues,"Hotel Astor; viergeschossiger Massivbau nach spätgotischen Vorbildern, 1908 (nach Brand 1987 wiederhergestellt)",49.915946,7.07479,
Gestade 8,Bernkastel-Kues,"Katholische Pfarrkirche St. Michael und St. Sebastian; dreischiffige Pseudobasilika, zweite Hälfte des 14. Jahrhunderts, Mittelschifferweiterung im 17. Jahrhundert, 1968 Wiederherstellung der barocken Fassade; Schieferbruchsteinturm, 14. Jahrhundert",49.915777,7.074889,
Gestade 12,Bernkastel-Kues,"ehemaliges kurfürstliches Amts- und Kellereigebäude; dreigeschossiger Zweiflügelbau, viergeschossiger Treppenbau, 1656–61",49.91489,7.075248,
Gestade 15,Bernkastel-Kues,"Winzervilla; Schieferbau, Neurenaissance, um 1900",49.914507,7.074943,
Gestade 16,Bernkastel-Kues,"stattlicher Massivbau, spätbarocke Formen, wohl vom Anfang des 20. Jahrhunderts",49.914269,7.075131,
Gestade 18,Bernkastel-Kues,"ehemaliges Kreisständehaus; vielteiliger späthistoristischer Baukomplex, bezeichnet 1904",49.914287,7.074682,
